https://www.CryptoDataDownload.com
uniq,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1653048000000,2022-05-20 12:00:00,1INCH/USD,0.9362,0.9367,0.905,0.9205,20308.16716,18693.667870780002
1653019200000,2022-05-20 04:00:00,1INCH/USD,0.9214,0.941,0.905,0.926,21650.819158,20048.658540308
1652961600000,2022-05-19 12:00:00,1INCH/USD,0.9189,0.941,0.9051,0.9362,22873.731105,21414.387060501
1652932800000,2022-05-19 04:00:00,1INCH/USD,0.9112,0.9385,0.8907,0.9214,23810.695829,21939.1751368406
1652875200000,2022-05-18 12:00:00,1INCH/USD,0.922,0.929,0.8894,0.9189,37284.385392,34260.621736708796
1652846400000,2022-05-18 04:00:00,1INCH/USD,0.9239,0.9464,0.8894,0.9112,38357.22065,34951.099456280004
1652788800000,2022-05-17 12:00:00,1INCH/USD,0.9466,0.9759,0.9142,0.922,60370.943367,55662.009784374
1652760000000,2022-05-17 04:00:00,1INCH/USD,0.9384,0.9759,0.9142,0.9239,58800.213746,54325.5174799294
1652702400000,2022-05-16 12:00:00,1INCH/USD,0.9277,0.9527,0.9114,0.9466,20821.23333,19709.379470178
1652673600000,2022-05-16 04:00:00,1INCH/USD,0.933,0.9449,0.9089,0.9384,21954.098418,20601.725955451202
1652616000000,2022-05-15 12:00:00,1INCH/USD,0.9367,0.9844,0.9089,0.9277,12939.997394,12004.4355824138
1652587200000,2022-05-15 04:00:00,1INCH/USD,0.9147,0.9844,0.9105,0.933,11957.664551,11156.501026083
1652529600000,2022-05-14 12:00:00,1INCH/USD,0.9342,0.9711,0.8907,0.9367,41429.861631,38807.3513897577
1652500800000,2022-05-14 04:00:00,1INCH/USD,0.9268,0.9711,0.8907,0.9147,39560.584336,36186.0664921392
1652443200000,2022-05-13 12:00:00,1INCH/USD,0.9308,0.985,0.8994,0.9342,57818.450522,54013.9964776524
1652414400000,2022-05-13 04:00:00,1INCH/USD,0.8952,0.985,0.873,0.9268,73232.78565,67872.14574042
1652356800000,2022-05-12 12:00:00,1INCH/USD,0.7803,0.9318,0.7543,0.9308,118526.481389,110324.44887688119
1652328000000,2022-05-12 04:00:00,1INCH/USD,0.8932,0.9054,0.6716,0.8952,158739.35845,142103.47368444
1652270400000,2022-05-11 12:00:00,1INCH/USD,1.0054,1.0684,0.6716,0.7803,179160.68538,139799.08280201402
1652241600000,2022-05-11 04:00:00,1INCH/USD,1.0384,1.0505,0.8924,0.8932,92146.125262,82304.9190840184
1652184000000,2022-05-10 12:00:00,1INCH/USD,1.1148,1.1379,0.987,1.0054,83024.341689,83472.6731341206
1652155200000,2022-05-10 04:00:00,1INCH/USD,1.0399,1.1379,0.987,1.0384,69802.793134,72483.22039034561
1652097600000,2022-05-09 12:00:00,1INCH/USD,1.2995,1.3656,0.995,1.1148,250657.849388,279433.37049774243
1652068800000,2022-05-09 04:00:00,1INCH/USD,1.2918,1.3656,0.995,1.0399,248138.627606,258039.3588474794
1652011200000,2022-05-08 12:00:00,1INCH/USD,1.3104,1.3275,1.2751,1.2995,34435.684594,44749.172129903
1651982400000,2022-05-08 04:00:00,1INCH/USD,1.3154,1.3275,1.2781,1.2918,25787.651582,33312.4883136276
1651924800000,2022-05-07 12:00:00,1INCH/USD,1.2941,1.3275,1.2781,1.3104,30209.048036,39585.9365463744
1651896000000,2022-05-07 04:00:00,1INCH/USD,1.3106,1.3341,1.2781,1.3154,29720.659058,39094.5549248932
1651838400000,2022-05-06 12:00:00,1INCH/USD,1.3121,1.3734,1.2908,1.2941,56061.329267,72548.96620442471
1651809600000,2022-05-06 04:00:00,1INCH/USD,1.3196,1.3734,1.2697,1.3106,65400.157759,85713.4467589454
1651752000000,2022-05-05 12:00:00,1INCH/USD,1.3129,1.3529,1.24,1.3121,93750.090803,123009.4941426163
1651723200000,2022-05-05 04:00:00,1INCH/USD,1.2683,1.3757,1.24,1.3196,91454.305573,120683.10163413081
1651665600000,2022-05-04 12:00:00,1INCH/USD,1.2143,1.3757,1.1738,1.3129,27416.673267,35995.3503322443
1651636800000,2022-05-04 04:00:00,1INCH/USD,1.184,1.2922,1.1675,1.2683,17566.245135,22279.2687047205
1651579200000,2022-05-03 12:00:00,1INCH/USD,1.2079,1.222,1.1535,1.2143,21856.977597,26540.9278960371
1651550400000,2022-05-03 04:00:00,1INCH/USD,1.2044,1.2635,1.1535,1.184,39117.992929,46315.703627935996
1651492800000,2022-05-02 12:00:00,1INCH/USD,1.1285,1.2635,1.1237,1.2079,52353.48844,63237.778686676
1651464000000,2022-05-02 04:00:00,1INCH/USD,1.1646,1.2466,1.1237,1.2044,35822.194329,43144.250849847595
1651406400000,2022-05-01 12:00:00,1INCH/USD,1.124,1.1848,1.1181,1.1285,24428.07803,27567.086056855
1651377600000,2022-05-01 04:00:00,1INCH/USD,1.1159,1.1765,1.1041,1.1646,29036.966755,33816.451482873
1651320000000,2022-04-30 12:00:00,1INCH/USD,1.2973,1.3139,1.0718,1.124,40832.380712,45895.595920288004
1651291200000,2022-04-30 04:00:00,1INCH/USD,1.2573,1.3529,1.0718,1.1159,37860.163534,42248.1564875906
1651233600000,2022-04-29 12:00:00,1INCH/USD,1.2601,1.3529,1.2273,1.2973,39506.445555,51251.71181850149
1651204800000,2022-04-29 04:00:00,1INCH/USD,1.288,1.3059,1.2273,1.2573,39889.969749,50153.65896541771
1651147200000,2022-04-28 12:00:00,1INCH/USD,1.3296,1.3392,1.2514,1.2601,25957.754989,32709.367061638903
1651118400000,2022-04-28 04:00:00,1INCH/USD,1.2939,1.3531,1.2844,1.288,25971.619761,33451.446252168
1651060800000,2022-04-27 12:00:00,1INCH/USD,1.317,1.3531,1.2849,1.3296,22618.31821,30073.315892016
1651032000000,2022-04-27 04:00:00,1INCH/USD,1.3124,1.3435,1.2939,1.2939,17268.05796,22343.140194444
1650974400000,2022-04-26 12:00:00,1INCH/USD,1.3949,1.4004,1.2589,1.317,104073.69176,137065.05204792
1650945600000,2022-04-26 04:00:00,1INCH/USD,1.4029,1.4213,1.2589,1.3124,97545.244734,128018.37918890161
1650888000000,2022-04-25 12:00:00,1INCH/USD,1.3525,1.4244,1.3403,1.3949,52364.533122,73043.2872518778
1650859200000,2022-04-25 04:00:00,1INCH/USD,1.3733,1.4244,1.3102,1.4029,76223.930326,106934.55185434541
1650801600000,2022-04-24 12:00:00,1INCH/USD,1.4349,1.4396,1.3102,1.3525,64384.588139,87080.1554579975
